code,product_name,brands,categories,categories_tags,countries,countries_tags,nutriscore_grade,nova_group,last_modified_t,energy-kcal_100g,energy_100g,fat_100g,saturated-fat_100g,sugars_100g,salt_100g,proteins_100g,fiber_100g,sodium_100g,product_name_pref,last_modified_ts,brands_arr,brands_clean_arr,brand_primary,categories_arr,categories_codes,primary_category_code,countries_arr,countries_codes,country_primary_code,event_date,has_name,has_brands,core_nutrients_count,completeness_score,quality_issues_json
600.0,Crema di nocciola al Gianduia,,,,en:it,en:italy,unknown,,1728034750,504.0,,29.6,2.2,49.3,3.2,10.5,3.6,1.28,Crema di nocciola al Gianduia,2024-10-04T09:39:10.000Z,,,,,,,"[\"en:italy\"]","[\"italy\"]",italy,2024-10-04,1,0,5,0.8571428571428571,
682.0,,,,,en:united kingdom,en:united-kingdom,unknown,,1728039004,,,,,,,,,,,2024-10-04T10:50:04.000Z,,,,,,,"[\"en:united-kingdom\"]","[\"united-kingdom\"]",united-kingdom,2024-10-04,0,0,0,0.0,
704.0,Creme de Cassis de Dijon Massenez,likör,"getränke und getränkezubereitungen, getränke","en:beverages-and-beverages-preparations,en:beverages",en:germany,en:germany,unknown,,1736859661,,,,,,,,,,Creme de Cassis de Dijon Massenez,2025-01-14T13:01:01.000Z,"[\"likör\"]","[\"likör\"]",likör,"[\"en:beverages-and-beverages-preparations\",\"en:beverages\"]","[\"beverages-and-beverages-preparations\",\"beverages\"]",beverages-and-beverages-preparations,"[\"en:germany\"]","[\"germany\"]",germany,2025-01-14,1,1,0,0.2857142857142857,
766.0,Thrive Plant Protein - Chocolate Swirl,naked harvest,"beverages, alcoholic beverages, wines","en:beverages,en:alcoholic-beverages,en:wines",australia,en:australia,not-applicable,3,1728040049,45.0,,3.6,1.4,1.0,0.86,60.0,0.0,0.344,Thrive Plant Protein - Chocolate Swirl,2024-10-04T11:07:29.000Z,"[\"naked harvest\"]","[\"naked harvest\"]",naked harvest,"[\"en:beverages\",\"en:alcoholic-beverages\",\"en:wines\"]","[\"beverages\",\"alcoholic-beverages\",\"wines\"]",beverages,"[\"en:australia\"]","[\"australia\"]",australia,2024-10-04,1,1,5,1.0,
779.0,Fyta chocolate plant protein,fyta,,,en:ireland,en:ireland,unknown,,1728040444,355.555555555556,,4.44444444444444,,,,66.6666666666667,6.66666666666667,,Fyta chocolate plant protein,2024-10-04T11:14:04.000Z,"[\"fyta\"]","[\"fyta\"]",fyta,,,,"[\"en:ireland\"]","[\"ireland\"]",ireland,2024-10-04,1,1,3,0.7142857142857143,
792.0,,,,,en:germany,en:germany,unknown,,1728040510,,,,,,,,,,,2024-10-04T11:15:10.000Z,,,,,,,"[\"en:germany\"]","[\"germany\"]",germany,2024-10-04,0,0,0,0.0,
804.0,Martini Riserva Rubino,vermouth,"getränke und getränkezubereitungen, getränke","en:beverages-and-beverages-preparations,en:beverages",en:germany,en:germany,unknown,,1736860124,,,,,,,,,,Martini Riserva Rubino,2025-01-14T13:08:44.000Z,"[\"vermouth\"]","[\"vermouth\"]",vermouth,"[\"en:beverages-and-beverages-preparations\",\"en:beverages\"]","[\"beverages-and-beverages-preparations\",\"beverages\"]",beverages-and-beverages-preparations,"[\"en:germany\"]","[\"germany\"]",germany,2025-01-14,1,1,0,0.2857142857142857,
808.0,Menthe poivrée,aroma zone,,,france,en:france,unknown,,1728036033,,,,,,,,,,Menthe poivrée,2024-10-04T10:00:33.000Z,"[\"aroma zone\"]","[\"aroma zone\"]",aroma zone,,,,"[\"en:france\"]","[\"france\"]",france,2024-10-04,1,1,0,0.2857142857142857,
844.0,Confiture de lait de brebis bio,confiture de lait,"petit-déjeuners, produits à tartiner, produits à tartiner sucrés, confitures de lait","en:breakfasts,en:spreads,en:sweet-spreads,en:milk-jams",en:fr,en:france,e,,1728036063,332.0,,9.6,6.8,48.0,0.26,8.8,,0.104,Confiture de lait de brebis bio,2024-10-04T10:01:03.000Z,"[\"confiture de lait\"]","[\"confiture de lait\"]",confiture de lait,"[\"en:breakfasts\",\"en:spreads\",\"en:sweet-spreads\",\"en:milk-jams\"]","[\"breakfasts\",\"spreads\",\"sweet-spreads\",\"milk-jams\"]",breakfasts,"[\"en:france\"]","[\"france\"]",france,2024-10-04,1,1,5,1.0,
999.0,Paprika rot,,en:sweet-peppers,"en:plant-based-foods-and-beverages,en:plant-based-foods,en:fruits-and-vegetables-based-foods,en:vegetable-based-foods-and-beverages,en:vegetables-based-foods,en:vegetables,en:sweet-peppers",en:germany,en:germany,unknown,,1750185531,,,,,,,,,,Paprika rot,2025-06-17T18:38:51.000Z,,,,"[\"en:plant-based-foods-and-beverages\",\"en:plant-based-foods\",\"en:fruits-and-vegetables-based-foods\",\"en:vegetable-based-foods-and-beverages\",\"en:vegetables-based-foods\",\"en:vegetables\",\"en:sweet-peppers\"]","[\"plant-based-foods-and-beverages\",\"plant-based-foods\",\"fruits-and-vegetables-based-foods\",\"vegetable-based-foods-and-beverages\",\"vegetables-based-foods\",\"vegetables\",\"sweet-peppers\"]",plant-based-foods-and-beverages,"[\"en:germany\"]","[\"germany\"]",germany,2025-06-17,1,0,0,0.14285714285714285,
1006.0,Organic Molasses,"buffalo molasses, eigenproduktion",,,"ireland, germany, world","en:germany,en:ireland,en:world",unknown,,1728358938,351.25,,8.3,1.11,18.17,0.0,6.78,,0.0,Organic Molasses,2024-10-08T03:42:18.000Z,"[\"buffalo molasses\",\"eigenproduktion\"]","[\"buffalo molasses\",\"eigenproduktion\"]",buffalo molasses,,,,"[\"en:germany\",\"en:ireland\",\"en:world\"]","[\"germany\",\"ireland\",\"world\"]",germany,2024-10-08,1,1,5,1.0,
1008.0,Mamma Mia  American BBQ,gymqueen,,,en:ireland,en:ireland,unknown,,1728034960,31.0,130.0,0.5,0.100000001490116,2.20000004768372,,0.5,,,Mamma Mia  American BBQ,2024-10-04T09:42:40.000Z,"[\"gymqueen\"]","[\"gymqueen\"]",gymqueen,,,,"[\"en:ireland\"]","[\"ireland\"]",ireland,2024-10-04,1,1,4,0.8571428571428571,
1029.0,Ferrero Rocher,fitpiggy,,,en:the netherlands,en:netherlands,unknown,,1749821876,380.0,,21.0,,,,17.0,,,Ferrero Rocher,2025-06-13T13:37:56.000Z,"[\"fitpiggy\"]","[\"fitpiggy\"]",fitpiggy,,,,"[\"en:netherlands\"]","[\"netherlands\"]",netherlands,2025-06-13,1,1,3,0.7142857142857143,
1045.0,BIO GOLD-LEINSAMEN Geschrotet,goman as,,,en:germany,en:germany,unknown,,1733460012,,,,,,,,,,BIO GOLD-LEINSAMEN Geschrotet,2024-12-06T04:40:12.000Z,"[\"goman as\"]","[\"goman as\"]",goman as,,,,"[\"en:germany\"]","[\"germany\"]",germany,2024-12-06,1,1,0,0.2857142857142857,
1053.0,Miel de Garrigues,,,,en:be,en:belgium,unknown,,1572598164,,,,,,,,,,Miel de Garrigues,2019-11-01T08:49:24.000Z,,,,,,,"[\"en:belgium\"]","[\"belgium\"]",belgium,2019-11-01,1,0,0,0.14285714285714285,
1063.0,Bromelain Intenso,top fruits,nahrungsergänzungsmittel,en:dietary-supplements,en:germany,en:germany,not-applicable,4,1728034972,,,,,,,,,,Bromelain Intenso,2024-10-04T09:42:52.000Z,"[\"top fruits\"]","[\"top fruits\"]",top fruits,"[\"en:dietary-supplements\"]","[\"dietary-supplements\"]",dietary-supplements,"[\"en:germany\"]","[\"germany\"]",germany,2024-10-04,1,1,0,0.2857142857142857,
1064.0,DHA Xtra 1660 Omega-3,nordic naturals,,,en:ireland,en:ireland,unknown,,1728034972,20.0,84.0,2.0,,,,,,,DHA Xtra 1660 Omega-3,2024-10-04T09:42:52.000Z,"[\"nordic naturals\"]","[\"nordic naturals\"]",nordic naturals,,,,"[\"en:ireland\"]","[\"ireland\"]",ireland,2024-10-04,1,1,2,0.5714285714285714,
1071.0,Thé Oolong Violette,goman as,,,en:fr,en:france,unknown,,1740125602,360.0,,21.0,3.2,16.0,1.5725,6.6,0.9,0.629,Thé Oolong Violette,2025-02-21T08:13:22.000Z,"[\"goman as\"]","[\"goman as\"]",goman as,,,,"[\"en:france\"]","[\"france\"]",france,2025-02-21,1,1,5,1.0,
1094.0,Organic Cracked Peas,scratch and peck feeds,,,"us, world","en:united-states,en:world",unknown,,1728358947,306.0,1280.0,14.1,6.1,17.3,0.5,17.7,14.2,0.2,Organic Cracked Peas,2024-10-08T03:42:27.000Z,"[\"scratch and peck feeds\"]","[\"scratch and peck feeds\"]",scratch and peck feeds,,,,"[\"en:united-states\",\"en:world\"]","[\"united-states\",\"world\"]",united-states,2024-10-08,1,1,5,1.0,
1108.0,Caramel nutty crunch,,,,us,en:united-states,unknown,,1728041777,314.8,,15.8,6.0,16.3,0.5,18.3,14.4,0.2,Caramel nutty crunch,2024-10-04T11:36:17.000Z,,,,,,,"[\"en:united-states\"]","[\"united-states\"]",united-states,2024-10-04,1,0,5,0.8571428571428571,
1113.0,Pâté de sanglier supérieur truffé à 4 %,,"plant-based foods and beverages, plant-based foods, spreads, nuts and their products, plant-based spreads, oilseed purees, nut butters, almond butters","en:plant-based-foods-and-beverages,en:plant-based-foods,en:spreads,en:nuts-and-their-products,en:plant-based-spreads,en:oilseed-purees,en:nut-butters,en:almond-butters",en:us,en:united-states,unknown,,1684697928,656.25,,53.125,4.6875,6.25,,21.875,,,Pâté de sanglier supérieur truffé à 4 %,2023-05-21T19:38:48.000Z,,,,"[\"en:plant-based-foods-and-beverages\",\"en:plant-based-foods\",\"en:spreads\",\"en:nuts-and-their-products\",\"en:plant-based-spreads\",\"en:oilseed-purees\",\"en:nut-butters\",\"en:almond-butters\"]","[\"plant-based-foods-and-beverages\",\"plant-based-foods\",\"spreads\",\"nuts-and-their-products\",\"plant-based-spreads\",\"oilseed-purees\",\"nut-butters\",\"almond-butters\"]",plant-based-foods-and-beverages,"[\"en:united-states\"]","[\"united-states\"]",united-states,2023-05-21,1,0,4,0.7142857142857143,
1124.0,Confiture de Grenade aux fruits secs Rihana,,"snacks, snacks sucrés, biscuits et gâteaux, biscuits, biscuits sablés, galettes bretonnes au beurre","en:snacks,en:sweet-snacks,en:biscuits-and-cakes,en:biscuits,en:shortbread-cookies,en:shortbread-cookies-from-brittany",en:fr,en:france,unknown,,1750342575,,,,,,,,,,Confiture de Grenade aux fruits secs Rihana,2025-06-19T14:16:15.000Z,,,,"[\"en:snacks\",\"en:sweet-snacks\",\"en:biscuits-and-cakes\",\"en:biscuits\",\"en:shortbread-cookies\",\"en:shortbread-cookies-from-brittany\"]","[\"snacks\",\"sweet-snacks\",\"biscuits-and-cakes\",\"biscuits\",\"shortbread-cookies\",\"shortbread-cookies-from-brittany\"]",snacks,"[\"en:france\"]","[\"france\"]",france,2025-06-19,1,0,0,0.14285714285714285,
