code,product_name,brands,categories,categories_tags,countries,countries_tags,nutriscore_grade,nova_group,last_modified_t,energy-kcal_100g,energy_100g,fat_100g,saturated-fat_100g,sugars_100g,salt_100g,proteins_100g,fiber_100g,sodium_100g,product_name_pref,last_modified_ts,has_name,has_brands,core_nutrients_count,completeness_score
00001185,L-Ornithin Pulver,bonemis,,,en:germany,en:germany,unknown,,1747221834,,,,,,,,,,L-Ornithin Pulver,2025-05-14T11:23:54.000Z,1,1,0,0.2857142857142857
00001199,Solène céréales poulet,crous,,,france,en:france,unknown,4,1767895188,219.0,916.0,5.9,0.5,1.7,0.464,9.7,2.8,0.1856,Solène céréales poulet,2026-01-08T17:59:48.000Z,1,1,5,1.0
0000120017176,,,,,en:united states,en:united-states,unknown,,1728042171,,,,,,,,,,,2024-10-04T11:42:51.000Z,0,0,0,0.0
0000120876131,EPA Frankreich,,,,en:germany,en:germany,unknown,,1728042196,,,,,,,,,,EPA Frankreich,2024-10-04T11:43:16.000Z,1,0,0,0.14285714285714285
00001218,Prime Protein,equip,,,en:united-states,en:united-states,unknown,4,1744839293,397.0,1660.0,3.97,3.97,7.94,1.44,79.4,,0.575,Prime Protein,2025-04-16T21:34:53.000Z,1,1,5,1.0
0000123090909,brendnammamam,bsbdhdjdh,,,en:uzbekistan,en:uzbekistan,unknown,,1751547451,,,,,,,,,,brendnammamam,2025-07-03T12:57:31.000Z,1,1,0,0.2857142857142857
0000123402839,McFlurry Malteaser,mcdonald’s,,,us,en:united-states,unknown,,1728042300,133.0,556.0,5.0,3.34999990463257,17.0,,2.65000009536743,0.75,,McFlurry Malteaser,2024-10-04T11:45:00.000Z,1,1,4,0.8571428571428571
0000123445435,,,,,en:romania,en:romania,,,1744028652,,,,,,,,,,,2025-04-07T12:24:12.000Z,0,0,0,0.0
0000123456666,Olivenöl,italien,,,en:germany,en:germany,unknown,,1728042310,,,,,,,,,,Olivenöl,2024-10-04T11:45:10.000Z,1,1,0,0.2857142857142857
00001250,,"herbalife, marinaden",,,"vereinigte staaten von amerika, germany","en:germany,en:united-states",unknown,,1728042391,,,,,,,,,,,2024-10-04T11:46:31.000Z,0,1,0,0.14285714285714285
00001251,Organic Fresh Young Chicken Thin Sliced Boneless Skinless Breasts,foster poultry farms,,,world,en:world,unknown,,1728358951,,,,,,,,,,Organic Fresh Young Chicken Thin Sliced Boneless Skinless Breasts,2024-10-08T03:42:31.000Z,1,1,0,0.2857142857142857
00001255,Ham and american on bun,,,,en:ireland,en:ireland,unknown,,1734371637,206.349206349206,863.0,7.14285714285714,,,,12.6984126984127,0.793650793650794,,Ham and american on bun,2024-12-16T17:53:57.000Z,1,0,3,0.5714285714285714
00001285,Protein Pudding,bodylap,,,de,en:germany,unknown,,1762329765,643.333333333333,2692.0,12.3333333333333,76.6666666666667,,,83.3333333333333,,,Protein Pudding,2025-11-05T08:02:45.000Z,1,1,3,0.7142857142857143
0000129213097,Wieprozowina z zapiecka,spizarnia,,,en:ireland,en:ireland,unknown,,1746323463,208.0,870.0,12.0,4.8,0.9,1.47637795275591,25.0,,0.590551181102364,Wieprozowina z zapiecka,2025-05-04T01:51:03.000Z,1,1,5,1.0
00001296,Alfalfa Hay,rural route 1,,,world,en:world,unknown,,1758614235,,,,,,,,,,Alfalfa Hay,2025-09-23T07:57:15.000Z,1,1,0,0.2857142857142857
0000130026287,cioccolato fondente,conad,,,en:italy,en:italy,unknown,,1741271380,,,,,,,,,,cioccolato fondente,2025-03-06T14:29:40.000Z,1,1,0,0.2857142857142857
0000130085750,Graines de chia noires,,,,en:ireland,en:ireland,unknown,,1728042492,70.0,293.0,4.5,,,,2.0,5.0,,Graines de chia noires,2024-10-04T11:48:12.000Z,1,0,3,0.5714285714285714
0000131019063,Van our lager,,,,en:russia,en:russia,unknown,,1732804867,,,,,,,,,,Van our lager,2024-11-28T14:41:07.000Z,1,0,0,0.14285714285714285
0000131335927,Hot Cocoa Extra Strength,moonbrew,,,en:united states,en:united-states,unknown,,1761703622,250.0,1050.0,0.0,,0.0,4.84,37.5,12.5,1.94,Hot Cocoa Extra Strength,2025-10-29T02:07:02.000Z,1,1,5,1.0
